sample_id,platform,listing_id,title,sector,region,asking_price_eur_or_band,revenue,profit,staff,retirement_stated,url,fetch_date
BT11,Bedrijventekoop.nl,111004,Garagebedrijf voor personenauto's en bestelbussen,workshop,Zuid-Holland,€ 100.000 - € 250.000,€ 500.000 - € 1.000.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/111004/garagebedrijf-voor-personenauto-s-en-bestelbussen,2026-09-03
BT12,Bedrijventekoop.nl,110637,Goedlopende stomerij/wasserij met aantrekkelijk groeipotentieel,workshop,Gelderland,€ 100.000 - € 250.000,€ 100.000 - € 250.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110637/goedlopende-stomerij-wasserij-met-aantrekkelijk-groeipotentieel,2026-09-03
BT13,Bedrijventekoop.nl,110512,Prachtige en complete wasserette,workshop,Zuid-Holland,€ 100.000 - € 250.000,€ 100.000 - € 250.000,Vertrouwelijk,< 5,yes,https://www.bedrijventekoop.nl/te-koop-aangeboden/110512/prachtige-en-complete-wasserette,2026-09-03
BT14,Bedrijventekoop.nl,110554,Onderhoudsbedrijf in de Watersport,workshop,Nederland,€ 100.000 - € 250.000,€ 0 - € 100.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110554/onderhoudsbedrijf-in-de-watersport,2026-09-03
BT15,Bedrijventekoop.nl,108778,Unieke kans: Succesvolle Copy- & Pasfotowinkel,workshop,Gelderland,€ 100.000 - € 250.000,Vertrouwelijk,€ 100.000 - € 250.000,< 5,yes,https://www.bedrijventekoop.nl/te-koop-aangeboden/108778/unieke-kans-succesvolle-copy-pasfotowinkel,2026-09-03
BT16,Bedrijventekoop.nl,110281,"Kerngezonde, instapklare onderneming gericht op tentverhuur",logistics,Noord-Nederland,€ 0 - € 100.000,Vertrouwelijk,€ 0 - € 100.000,< 5,yes,https://www.bedrijventekoop.nl/te-koop-aangeboden/110281/kerngezonde-instapklare-onderneming-gericht-op-tentverhuur,2026-09-03
BT17,Bedrijventekoop.nl,109363,Verhuur van elektrische fietsen in recreatieve regio,logistics,Noord-Holland,€ 0 - € 100.000,€ 0 - € 100.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/109363/verhuur-van-elektrische-fietsen-in-recreatieve-regio,2026-09-03
BT18,Bedrijventekoop.nl,109819,Camper- en motorhomeverhuurbedrijf met een gevestigd merk en groot groeipotentieel,logistics,Spanje,€ 100.000 - € 250.000,€ 0 - € 100.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/109819/camper-en-motorhomeverhuurbedrijf-met-een-gevestigd-merk-en-groot-groeipotentieel,2026-09-03
BT19,Bedrijventekoop.nl,110726,Basis GGZ (BGGZ) psychologenpraktijk in West-Nederland,care,Zuid-Holland,€ 0 - € 100.000,€ 100.000 - € 250.000,Vertrouwelijk,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110726/basis-ggz-bggz-psychologenpraktijk-in-west-nederland,2026-09-03
BT20,Bedrijventekoop.nl,110610,Botoxkliniek in Amsterdam,care,Noord-Holland,€ 100.000 - € 250.000,€ 100.000 - € 250.000,Vertrouwelijk,< 5,yes,https://www.bedrijventekoop.nl/te-koop-aangeboden/110610/botoxkliniek-in-amsterdam,2026-09-03
BT21,Bedrijventekoop.nl,110708,Fabrikant van universele oordoppen & otoplastieken met logo of sieraad,care,Nederland,€ 100.000 - € 250.000,€ 0 - € 100.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110708/fabrikant-van-universele-oordoppen-otoplastieken-met-logo-of-sieraad,2026-09-03
BT22,Bedrijventekoop.nl,110344,"Eigen winkel in zitcomfort, mobiliteit en hulpmiddelen (doelgroep 40+)",care,Nederland,€ 0 - € 100.000,€ 500.000 - € 1.000.000,€ 100.000 - € 250.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110344/eigen-winkel-in-zitcomfort-mobiliteit-en-hulpmiddelen-doelgroep-40,2026-09-03
BT23,Bedrijventekoop.nl,111029,Succesvolle drogisterij en schoonheidssalon in Woudenberg – unieke kans voor een gedreven ondernemer,care,Nederland,€ 0 - € 100.000,€ 500.000 - € 1.000.000,Vertrouwelijk,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/111029/succesvolle-drogisterij-en-schoonheidssalon-in-woudenberg-unieke-kans-voor-een-gedreven-ondernemer,2026-09-03
BT24,Bedrijventekoop.nl,111059,Goedlopende horecazaak in historisch centrum Den Bosch,hospitality,Nederland,€ 100.000 - € 250.000,€ 500.000 - € 1.000.000,Vertrouwelijk,5 - 10,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/111059/goedlopende-horecazaak-in-historisch-centrum-den-bosch,2026-09-03
BT25,Bedrijventekoop.nl,111036,Sfeervolle horecavestiging in historisch centrum Zutphen,hospitality,Nederland,€ 0 - € 100.000,Vertrouwelijk,Vertrouwelijk,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/111036/sfeervolle-horecavestiging-in-historisch-centrum-zutphen,2026-09-03
BT26,Bedrijventekoop.nl,110990,Winstgevend restaurant in Den Haag,hospitality,Zuid-Holland,€ 0 - € 100.000,€ 500.000 - € 1.000.000,€ 0 - € 100.000,5 - 10,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110990/winstgevend-restaurant-in-den-haag,2026-09-03
BT27,Bedrijventekoop.nl,110922,Droomlocatie horeca met groot terras en mooie cijfers,hospitality,Utrecht,€ 100.000 - € 250.000,€ 500.000 - € 1.000.000,Vertrouwelijk,5 - 10,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110922/droomlocatie-horeca-met-groot-terras-en-mooie-cijfers,2026-09-03
BT28,Bedrijventekoop.nl,110917,"Unieke kans in Amersfoort, florerend restaurant aan de Eem tegen het centrum van Amersfoort",hospitality,Utrecht,€ 0 - € 100.000,€ 1.000.000 - € 2.500.000,€ 0 - € 100.000,5 - 10,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110917/unieke-kans-in-amersfoort-florerend-restaurant-aan-de-eem-tegen-het-centrum-van-amersfoort,2026-09-03
BT29,Bedrijventekoop.nl,110799,Prettige snackbar op mooie locatie in Amsterdam,hospitality,Nederland,€ 0 - € 100.000,€ 500.000 - € 1.000.000,Vertrouwelijk,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110799/prettige-snackbar-op-mooie-locatie-in-amsterdam,2026-09-03
BT30,Bedrijventekoop.nl,110678,"Drukke Lunchroom/Cafetaria (Alkmaar) te Koop – MKB Klanten, Particulieren & Terras",hospitality,Noord-Holland,€ 0 - € 100.000,€ 250.000 - € 500.000,Vertrouwelijk,5 - 10,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110678/drukke-lunchroom-cafetaria-alkmaar-te-koop-mkb-klanten-particulieren-terras,2026-09-03
BT31,Bedrijventekoop.nl,111063,Winstgevende tabak- en gemakswinkel,retail,Limburg,€ 0 - € 100.000,€ 1.000.000 - € 2.500.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/111063/winstgevende-tabak-en-gemakswinkel,2026-09-03
BT32,Bedrijventekoop.nl,111006,Winstgevende tabak- en gemakzaak in Woerden,retail,Nederland,€ 0 - € 100.000,€ 1.000.000 - € 2.500.000,Vertrouwelijk,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/111006/winstgevende-tabak-en-gemakzaak-in-woerden,2026-09-03
BT33,Bedrijventekoop.nl,110984,Dierenspeciaalzaak in randgemeente van Amsterdam,retail,Noord-Holland,€ 0 - € 100.000,€ 100.000 - € 250.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110984/dierenspeciaalzaak-in-randgemeente-van-amsterdam,2026-09-03
BT34,Bedrijventekoop.nl,110953,"Tabak-, gemak- en cadeauzaak",retail,Nederland,€ 0 - € 100.000,Vertrouwelijk,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110953/tabak-gemak-en-cadeauzaak,2026-09-03
BT35,Bedrijventekoop.nl,110906,Leuk bedrijf in specialistische plantenverkoop,retail,Gelderland,€ 100.000 - € 250.000,€ 100.000 - € 250.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110906/leuk-bedrijf-in-specialistische-plantenverkoop,2026-09-03
BT36,Bedrijventekoop.nl,110672,Boekhandel op toplocatie in Vlissingen,retail,Nederland,€ 0 - € 100.000,€ 500.000 - € 1.000.000,Vertrouwelijk,5 - 10,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110672/boekhandel-op-toplocatie-in-vlissingen,2026-09-03
BT37,Bedrijventekoop.nl,110469,Aquariumspeciaalzaak,retail,Midden-Nederland,€ 0 - € 100.000,€ 0 - € 100.000,€ 0 - € 100.000,< 5,yes,https://www.bedrijventekoop.nl/te-koop-aangeboden/110469/aquariumspeciaalzaak,2026-09-03
BT38,Bedrijventekoop.nl,110742,Veranda en tuinkamers bedrijf met showroom 250m2,retail,Flevoland,€ 100.000 - € 250.000,€ 250.000 - € 500.000,Vertrouwelijk,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110742/veranda-en-tuinkamers-bedrijf-met-showroom-250m2,2026-09-03
BR01,Brookz,42192,Importeur van Zuid-Amerikaanse wijn (EU),wholesale/trade,Niet-locatiegebonden,€250.000,150000,30000,2-5,no,https://www.brookz.nl/bedrijven-te-koop/importeur-argentijnse-wijn-eu-1/42192,2026-09-03
BR02,Brookz,42850,Autogarage overname met lage huurkosten,workshop,West,€49.500,not stated,not stated,1,no,https://www.brookz.nl/bedrijven-te-koop/autogarage-overname-met-lage-huurkosten/42850,2026-09-03
BR03,Brookz,42802,Uniek mobiel horecaconcept voor de evenementenmarkt,hospitality,Oost,€250.000,70088,40472,1,no,https://www.brookz.nl/bedrijven-te-koop/uniek-mobiel-horecaconcept-voor-de-evenementenmarkt/42802,2026-09-03
BR04,Brookz,42848,"Verhuurbedrijf feesttenten, Flevoland/'t Gooi",logistics,Midden,€75.000,86363,not stated,1,no,https://www.brookz.nl/bedrijven-te-koop/verhuurbedrijf-feesttenten-flevolandt-gooi/42848,2026-09-03
BR05,Brookz,42460,Stomerij en kledingreiniging,workshop,West,€70.000,183000,111000,2-5,no,https://www.brookz.nl/bedrijven-te-koop/stomerij-en-kledingreiniging/42460,2026-09-03
BR06,Brookz,41294,Stomerij,workshop,Zuid,€280.000,400000,120000,2-5,no,https://www.brookz.nl/bedrijven-te-koop/stomerij-1/41294,2026-09-03
BR07,Brookz,40421,"Familiebedrijf beveiliging, camera's, toegang & artikelbeveiliging",wholesale/trade,Midden,€310.000,230000,80000,2-5,no,https://www.brookz.nl/bedrijven-te-koop/familiebedrijf-beveiliging-cameras-toegang-artikelbeveiliging/40421,2026-09-03
MP01,Marktplaats Zakelijk,m2438622080,Goedlopende snackbar op unieke locatie in Diemen-Noord,hospitality,Diemen,€57.500,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2438622080-goedlopende-snackbar-op-unieke-locatie-in-diemen-noord,2026-09-03
MP02,Marktplaats Zakelijk,m2409418478,Cateringlocatie Ter Overname – Instapklaar – Almere,hospitality,Almere,€35.000,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2409418478-cateringlocatie-ter-overname-instapklaar-almere,2026-09-03
MP03,Marktplaats Zakelijk,m2437939485,Winkelruimte Amsterdam-west + inventaris ter overname,retail,Amsterdam,€12.000,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2437939485-winkelruimte-amsterdam-west-inventaris-ter-overname,2026-09-03
MP04,Marktplaats Zakelijk,m2427605173,Shoe Cleaning Business met Website en Klanten,workshop,Amsterdam,€5.000,not stated,not stated,2 parttime werknemers,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2427605173-shoe-cleaning-business-met-website-en-klanten,2026-09-03
MP05,Marktplaats Zakelijk,m2267297828,Uniek raceverhuur bedrijf ter overname,logistics,Nieuwkuijk,€10.000,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2267297828-uniek-raceverhuur-bedrijf-ter-overname,2026-09-03
MP06,Marktplaats Zakelijk,m2406440342,Sushi Foodtruck te Koop - Klaar voor Evenementen!,hospitality,Tilburg,€19.999,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2406440342-sushi-foodtruck-te-koop-klaar-voor-evenementen,2026-09-03
MP07,Marktplaats Zakelijk,m2396550266,Autobedrijf autogarage overname instapklaar! Lage huur,workshop,Rotterdam,€49.450,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2396550266-autobedrijf-autogarage-overname-instapklaar-lage-huur,2026-09-03
MP08,Marktplaats Zakelijk,m2385733998,Autogarage / Autobedrijf te Koop – Instapklaar! 0649909612,workshop,Vlaardingen,€25.000,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2385733998-autogarage-autobedrijf-te-koop-instapklaar-0649909612,2026-09-03
MP09,Marktplaats Zakelijk,m2434627891,Goedlopende Kringloopwinkel Ter Overname,retail,'s-Gravenhage,€49.500,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2434627891-goedlopende-kringloopwinkel-ter-overname,2026-09-03
MP10,Marktplaats Zakelijk,m2391296179,Complete Professionele Productiekeuken Amsterdam overnamen,light manufacturing,Amsterdam,€39.900,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2391296179-complete-professionele-productiekeuken-amsterdam-overnamen,2026-09-03
MP11,Marktplaats Zakelijk,m2428641482,Goedlopende Horeca zaak terovernamen Oosterhout (NB),hospitality,Oosterhout,€95.000,Omzet ± €350.000.,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2428641482-goedlopende-horeca-zaak-terovernamen-oosterhout-nb,2026-09-03
MP12,Marktplaats Zakelijk,m2415763818,Webshop te koop | Bedrijfsovername paardensport Airbagvesten,wholesale/trade,Nijverdal,€75.000,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2415763818-webshop-te-koop-bedrijfsovername-paardensport-airbagvesten,2026-09-03
MP13,Marktplaats Zakelijk,m2435451734,Biologisch FROZEN YOGHURT merk te koop,light manufacturing,Rotterdam,€25.000,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2435451734-biologisch-frozen-yoghurt-merk-te-koop,2026-09-03
MP14,Marktplaats Zakelijk,m2415409915,Tabakshop Rotterdam,retail,Rotterdam,€79.000,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2415409915-tabakshop-rotterdam,2026-09-03
MP15,Marktplaats Zakelijk,m2348097226,Luxe Spa & Beauty – Volledig operationeel – Direct,care,Hoogvliet Rotterdam,€130.000,not stated,not stated,not stated,no,https://www.marktplaats.nl/v/zakelijke-goederen/exploitaties-en-overnames/m2348097226-luxe-spa-beauty-volledig-operationeel-direct,2026-09-03
