year,country,parent_category,completed,successful,failed,live_or_other,funded_usd_successful,backers_successful,success_rate_completed_pct
2023,PL,Technology,12,9,3,0,122463,495,75.0
2023,SE,Crafts,2,1,1,0,11382,575,50.0
2023,SE,Design,9,8,1,0,473099,4060,88.89
2023,SE,Fashion,7,5,2,0,69543,290,71.43
2023,SE,Food,3,1,2,1,83500,763,33.33
2023,SE,Technology,1,0,1,0,0,0,0.0
2023,SG,Crafts,8,5,3,0,16060,224,62.5
2023,SG,Design,20,20,0,3,1752197,11560,100.0
2023,SG,Fashion,14,11,3,0,119960,1290,78.57
2023,SG,Technology,10,9,1,0,5732181,12956,90.0
2023,SI,Crafts,1,0,1,0,0,0,0.0
2023,SI,Design,3,3,0,0,117325,902,100.0
2023,SI,Technology,1,1,0,0,159345,1399,100.0
2023,US,Crafts,178,72,106,18,620068,5417,40.45
2023,US,Design,697,692,5,95,68278060,449754,99.28
2023,US,Fashion,513,411,102,20,7246098,55953,80.12
2023,US,Food,163,70,93,5,1289201,15829,42.94
2023,US,Games,43,37,6,6,245204,6095,86.05
2023,US,Technology,275,204,71,17,64529914,186635,74.18
2024,AT,Crafts,1,0,1,0,0,0,0.0
2024,AT,Design,2,1,1,0,406,15,50.0
2024,AT,Fashion,7,3,4,1,36339,239,42.86
2024,AT,Games,4,4,0,0,179416,2058,100.0
2024,AT,Technology,3,3,0,1,215220,1368,100.0
2024,AU,Crafts,7,3,4,1,8277,162,42.86
2024,AU,Design,23,20,3,0,345064,2705,86.96
2024,AU,Fashion,43,27,16,0,171008,2080,62.79
2024,AU,Food,5,1,4,0,3186,10,20.0
2024,AU,Games,83,78,5,2,875215,15212,93.98
2024,AU,Technology,18,17,1,3,934679,6895,94.44
2024,BE,Crafts,1,1,0,0,627,15,100.0
2024,BE,Design,5,3,2,0,149720,432,60.0
2024,BE,Fashion,5,3,2,1,14003,52,60.0
2024,BE,Food,1,0,1,0,0,0,0.0
2024,BE,Games,21,21,0,1,166872,5649,100.0
2024,BE,Technology,7,4,3,0,295033,856,57.14
2024,CA,Crafts,22,8,14,4,26831,396,36.36
2024,CA,Design,38,35,3,1,1231351,10927,92.11
2024,CA,Fashion,67,47,20,1,1398065,11835,70.15
2024,CA,Food,11,1,10,3,267,14,9.09
2024,CA,Games,147,139,8,6,1500235,30749,94.56
2024,CA,Technology,39,33,6,6,1990286,14290,84.62
2024,CH,Crafts,2,2,0,0,20778,218,100.0
2024,CH,Design,10,7,3,0,174195,451,70.0
2024,CH,Fashion,13,4,9,1,35153,219,30.77
2024,CH,Food,1,0,1,0,0,0,0.0
2024,CH,Games,1,1,0,0,15255,184,100.0
2024,CH,Technology,11,8,3,0,1958123,17318,72.73
2024,DE,Crafts,16,5,11,6,12128,208,31.25
2024,DE,Design,18,14,4,5,906513,7609,77.78
2024,DE,Fashion,40,20,20,2,258295,1344,50.0
2024,DE,Food,8,3,5,0,81355,1755,37.5
2024,DE,Games,104,98,6,0,550924,11413,94.23
2024,DE,Technology,45,26,19,2,1154457,4563,57.78
2024,DK,Crafts,2,0,2,0,0,0,0.0
2024,DK,Design,8,7,1,0,356225,1902,87.5
2024,DK,Fashion,6,4,2,0,16351,178,66.67
2024,DK,Games,5,5,0,1,38877,1166,100.0
2024,DK,Technology,4,2,2,0,79584,306,50.0
2024,ES,Crafts,12,6,6,4,42864,136,50.0
2024,ES,Design,12,10,2,1,1622251,9834,83.33
2024,ES,Fashion,38,28,10,2,924877,6690,73.68
2024,ES,Food,0,0,0,1,0,0,
2024,ES,Games,216,201,15,0,1735994,44387,93.06
2024,ES,Technology,17,10,7,4,215403,3521,58.82
2024,FR,Crafts,7,0,7,5,0,0,0.0
2024,FR,Design,22,17,5,0,497228,4254,77.27
2024,FR,Fashion,41,16,25,4,1113675,1411,39.02
2024,FR,Games,88,80,8,3,844118,16713,90.91
2024,FR,Technology,22,19,3,2,2143977,6053,86.36
2024,GB,Crafts,56,29,27,3,111899,2078,51.79
2024,GB,Design,85,76,9,2,4312813,31656,89.41
2024,GB,Fashion,140,93,47,8,1045949,10296,66.43
2024,GB,Food,19,8,11,3,145657,1109,42.11
2024,GB,Games,349,329,20,10,4449764,74152,94.27
2024,GB,Technology,50,40,10,4,2684924,12698,80.0
2024,GR,Crafts,3,0,3,0,0,0,0.0
2024,GR,Design,2,1,1,1,17214,253,50.0
2024,GR,Fashion,1,0,1,1,0,0,0.0
2024,GR,Food,2,2,0,0,1848,229,100.0
2024,GR,Games,145,144,1,1,524526,21191,99.31
2024,HK,Crafts,17,8,9,1,250430,1065,47.06
2024,HK,Design,172,164,8,3,15712762,88423,95.35
2024,HK,Fashion,22,9,13,2,106709,1103,40.91
2024,HK,Games,50,47,3,0,1665748,15788,94.0
2024,HK,Technology,274,258,16,2,32639505,110587,94.16
2024,IE,Crafts,1,0,1,0,0,0,0.0
2024,IE,Design,3,1,2,0,236110,650,33.33
2024,IE,Fashion,5,3,2,0,3605,67,60.0
2024,IE,Food,2,2,0,0,76204,774,100.0
2024,IE,Games,25,22,3,1,54875,3585,88.0
2024,IE,Technology,4,3,1,0,171083,467,75.0
2024,IT,Crafts,15,2,13,2,5902,37,13.33
2024,IT,Design,31,22,9,0,607335,3286,70.97
2024,IT,Fashion,31,11,20,1,64682,610,35.48
2024,IT,Food,6,1,5,1,13542,76,16.67
2024,IT,Games,114,107,7,2,670593,15347,93.86
2024,IT,Technology,24,15,9,1,769340,5547,62.5
2024,JP,Crafts,32,28,4,2,490722,2894,87.5
2024,JP,Design,32,30,2,1,471825,2503,93.75
2024,JP,Fashion,48,40,8,0,442433,2757,83.33
2024,JP,Food,4,2,2,0,19770,182,50.0
2024,JP,Games,37,35,2,1,1439959,14978,94.59
2024,JP,Technology,10,9,1,0,471956,754,90.0
2024,LU,Fashion,1,1,0,0,80943,128,100.0
2024,LU,Games,1,0,1,0,0,0,0.0
2024,MX,Crafts,4,2,2,0,1049,19,50.0
2024,MX,Design,6,3,3,0,9061,102,50.0
2024,MX,Fashion,4,3,1,1,11164,189,75.0
2024,MX,Food,2,1,1,0,2383,112,50.0
2024,MX,Games,87,83,4,0,218685,6318,95.4
2024,MX,Technology,4,0,4,0,0,0,0.0
2024,NL,Crafts,7,5,2,0,19675,168,71.43
2024,NL,Design,23,22,1,0,877501,6248,95.65
2024,NL,Fashion,15,8,7,1,81045,562,53.33
2024,NL,Food,0,0,0,2,0,0,
2024,NL,Games,49,46,3,0,252514,6621,93.88
2024,NL,Technology,7,6,1,0,290551,1584,85.71
2024,NO,Crafts,1,0,1,0,0,0,0.0
2024,NO,Fashion,2,1,1,0,1257,34,50.0
2024,NO,Food,0,0,0,1,0,0,
2024,NO,Games,8,8,0,0,28718,412,100.0
2024,NO,Technology,1,0,1,0,0,0,0.0
2024,NZ,Crafts,2,0,2,0,0,0,0.0
2024,NZ,Design,3,2,1,1,113775,747,66.67
2024,NZ,Fashion,1,1,0,0,17846,198,100.0
2024,NZ,Food,1,0,1,0,0,0,0.0
2024,NZ,Games,32,31,1,0,276246,7177,96.88
2024,NZ,Technology,3,2,1,0,11003,331,66.67
2024,PL,Crafts,6,4,2,0,7857,69,66.67
2024,PL,Design,18,14,4,0,546833,1498,77.78
2024,PL,Fashion,4,2,2,0,13904,232,50.0
2024,PL,Games,120,117,3,1,1906476,21330,97.5
2024,PL,Technology,15,12,3,0,873877,3242,80.0
2024,SE,Design,10,9,1,0,177523,969,90.0
2024,SE,Fashion,11,9,2,0,109078,1018,81.82
2024,SE,Food,1,1,0,0,8808,146,100.0
2024,SE,Games,30,28,2,0,1526737,15632,93.33
2024,SE,Technology,6,5,1,0,1855403,3250,83.33
2024,SG,Crafts,4,2,2,0,656,22,50.0
2024,SG,Design,10,9,1,0,223146,1296,90.0
2024,SG,Fashion,18,10,8,0,250934,1239,55.56
2024,SG,Games,10,9,1,0,20017,656,90.0
2024,SG,Technology,13,6,7,0,506876,3535,46.15
2024,SI,Design,2,1,1,0,68703,702,50.0
2024,SI,Fashion,1,0,1,1,0,0,0.0
2024,SI,Food,1,0,1,0,0,0,0.0
2024,SI,Technology,4,4,0,0,285942,1188,100.0
2024,US,Art,4,3,1,0,16962,137,75.0
2024,US,Crafts,211,87,124,22,556513,6587,41.23
2024,US,Design,505,432,73,12,40724405,284188,85.54
2024,US,Fashion,529,304,225,40,4907909,42127,57.47
2024,US,Food,133,51,82,11,685487,6794,38.35
2024,US,Games,1083,978,105,17,23444038,360038,90.3
2024,US,Technology,446,365,81,19,105284923,341532,81.84
2025,AT,Crafts,2,1,1,0,2815,34,50.0
2025,AT,Design,7,4,3,0,286736,1359,57.14
2025,AT,Fashion,1,0,1,0,0,0,0.0
2025,AT,Games,12,11,1,0,108427,1482,91.67
2025,AT,Technology,1,1,0,0,17117,92,100.0
2025,AU,Art,1,1,0,0,320,7,100.0
2025,AU,Crafts,11,7,4,3,262852,2018,63.64
2025,AU,Design,47,33,14,1,1288026,7246,70.21
2025,AU,Fashion,43,26,17,2,286118,2771,60.47
2025,AU,Food,8,2,6,0,36510,504,25.0
2025,AU,Games,115,105,10,3,1280368,22160,91.3
2025,AU,Technology,28,20,8,3,4204569,16701,71.43
2025,BE,Crafts,1,0,1,0,0,0,0.0
2025,BE,Design,5,1,4,0,34914,24,20.0
2025,BE,Fashion,5,1,4,0,20243,40,20.0
2025,BE,Food,2,2,0,0,18913,143,100.0
2025,BE,Games,18,17,1,0,303462,5249,94.44
2025,BE,Technology,2,0,2,0,0,0,0.0
2025,CA,Crafts,29,14,15,8,60429,513,48.28
2025,CA,Design,59,48,11,4,4911673,28532,81.36
2025,CA,Fashion,72,39,33,3,586912,3721,54.17
2025,CA,Food,8,0,8,4,0,0,0.0
2025,CA,Games,194,176,18,2,3002468,50175,90.72
2025,CA,Technology,45,33,12,3,13180201,46998,73.33
2025,CH,Design,19,14,5,0,933263,2414,73.68
2025,CH,Fashion,12,8,4,1,244865,547,66.67
2025,CH,Games,10,5,5,1,446484,2752,50.0
2025,CH,Technology,8,5,3,1,2355988,13929,62.5
2025,DE,Crafts,14,9,5,0,18150,349,64.29
2025,DE,Design,33,27,6,2,1039031,7064,81.82
2025,DE,Fashion,40,11,29,4,150748,873,27.5
2025,DE,Food,8,3,5,2,21610,253,37.5
2025,DE,Games,179,161,18,2,1577195,23208,89.94
2025,DE,Technology,49,29,20,4,4189327,7561,59.18
2025,DK,Design,9,8,1,0,646815,3337,88.89
2025,DK,Fashion,7,3,4,0,7989,142,42.86
2025,DK,Food,1,0,1,0,0,0,0.0
2025,DK,Games,13,11,2,0,201125,2837,84.62
2025,DK,Technology,4,3,1,0,191798,527,75.0
2025,ES,Crafts,7,2,5,2,6048,40,28.57
2025,ES,Design,14,8,6,0,240355,2746,57.14
2025,ES,Fashion,46,22,24,6,623929,4059,47.83
2025,ES,Food,1,0,1,1,0,0,0.0
2025,ES,Games,284,271,13,1,1797504,44324,95.42
2025,ES,Technology,34,21,13,1,4892744,8186,61.76
2025,FR,Art,0,0,0,1,0,0,
2025,FR,Crafts,10,3,7,3,6599,67,30.0
2025,FR,Design,21,17,4,1,889107,3270,80.95
2025,FR,Fashion,34,16,18,0,321243,1088,47.06
2025,FR,Food,2,2,0,0,15373,146,100.0
2025,FR,Games,134,128,6,1,1020258,20054,95.52
2025,FR,Technology,33,22,11,1,1774330,11671,66.67
2025,GB,Art,1,0,1,0,0,0,0.0
2025,GB,Crafts,42,21,21,9,85317,1149,50.0
2025,GB,Design,123,98,25,3,7706031,51698,79.67
2025,GB,Fashion,114,71,43,6,1387617,12563,62.28
2025,GB,Food,20,6,14,5,39209,433,30.0
2025,GB,Games,424,394,30,9,7836807,112500,92.92
2025,GB,Technology,53,42,11,6,6949096,26422,79.25
2025,GR,Crafts,3,0,3,0,0,0,0.0
2025,GR,Design,1,1,0,0,253,13,100.0
2025,GR,Food,17,14,3,0,16890,862,82.35
2025,GR,Games,165,165,0,0,997360,25196,100.0
2025,GR,Technology,2,1,1,0,5006,77,50.0
2025,HK,Crafts,25,14,11,1,210877,500,56.0
2025,HK,Design,312,296,16,7,19442651,107230,94.87
2025,HK,Fashion,20,11,9,2,180833,1165,55.0
2025,HK,Food,1,0,1,0,0,0,0.0
2025,HK,Games,71,71,0,2,1804552,17910,100.0
2025,HK,Technology,442,426,16,6,112683745,255191,96.38
2025,IE,Design,3,3,0,1,1137853,1794,100.0
2025,IE,Fashion,5,1,4,1,6119,101,20.0
2025,IE,Food,2,1,1,0,16128,109,50.0
2025,IE,Games,34,30,4,1,181558,3503,88.24
2025,IE,Technology,1,0,1,0,0,0,0.0
2025,IT,Crafts,9,2,7,4,38300,67,22.22
2025,IT,Design,30,22,8,4,1642622,11202,73.33
2025,IT,Fashion,35,9,26,6,42756,173,25.71
2025,IT,Food,6,3,3,0,30276,348,50.0
2025,IT,Games,178,163,15,2,2286601,26102,91.57
2025,IT,Technology,44,22,22,3,543313,6513,50.0
2025,JP,Art,1,1,0,0,5425,20,100.0
2025,JP,Crafts,28,20,8,2,220449,2047,71.43
2025,JP,Design,63,57,6,2,1965673,10843,90.48
2025,JP,Fashion,50,46,4,0,421942,3127,92.0
2025,JP,Food,5,3,2,0,10098,173,60.0
2025,JP,Games,45,42,3,0,1574858,13815,93.33
2025,JP,Technology,19,16,3,1,2634314,15709,84.21
2025,LU,Design,1,0,1,0,0,0,0.0
2025,LU,Fashion,1,0,1,0,0,0,0.0
2025,LU,Technology,1,0,1,0,0,0,0.0
2025,MX,Crafts,3,0,3,0,0,0,0.0
2025,MX,Design,9,6,3,1,76986,282,66.67
2025,MX,Fashion,9,2,7,0,24703,258,22.22
2025,MX,Food,5,3,2,0,8200,211,60.0
2025,MX,Games,122,116,6,0,241884,11816,95.08
2025,MX,Technology,10,5,5,1,11080,146,50.0
2025,NL,Crafts,7,4,3,0,42837,400,57.14
2025,NL,Design,17,16,1,1,2085337,12326,94.12
2025,NL,Fashion,9,6,3,0,20892,217,66.67
2025,NL,Food,5,2,3,0,20651,188,40.0
2025,NL,Games,51,46,5,0,456657,7957,90.2
2025,NL,Technology,10,9,1,1,692259,1857,90.0
2025,NO,Design,4,4,0,0,471839,1116,100.0
2025,NO,Fashion,1,1,0,0,20770,94,100.0
2025,NO,Games,7,6,1,0,24785,447,85.71
2025,NO,Technology,1,1,0,0,35412,146,100.0
2025,NZ,Crafts,2,0,2,0,0,0,0.0
2025,NZ,Design,2,2,0,0,97588,1329,100.0
2025,NZ,Fashion,3,0,3,0,0,0,0.0
2025,NZ,Games,28,25,3,0,254970,6042,89.29
2025,NZ,Technology,8,6,2,0,474596,1809,75.0
2025,PL,Crafts,3,0,3,0,0,0,0.0
2025,PL,Design,17,11,6,1,88714,397,64.71
2025,PL,Fashion,3,0,3,0,0,0,0.0
2025,PL,Food,2,1,1,0,1821,58,50.0
2025,PL,Games,188,176,12,1,6445724,41036,93.62
2025,PL,Technology,12,8,4,1,210914,1105,66.67
2025,SE,Crafts,4,2,2,1,2039,44,50.0
2025,SE,Design,8,6,2,0,342236,846,75.0
2025,SE,Fashion,8,4,4,0,20080,125,50.0
2025,SE,Food,1,0,1,0,0,0,0.0
2025,SE,Games,35,30,5,0,462737,6251,85.71
2025,SE,Technology,5,4,1,0,799698,4118,80.0
2025,SG,Crafts,4,0,4,0,0,0,0.0
2025,SG,Design,17,15,2,1,739147,4889,88.24
2025,SG,Fashion,17,10,7,0,106051,788,58.82
2025,SG,Food,2,0,2,0,0,0,0.0
2025,SG,Games,24,22,2,3,598414,4655,91.67
2025,SG,Technology,21,14,7,2,1927639,6332,66.67
2025,SI,Crafts,4,2,2,0,8303,69,50.0
2025,SI,Design,4,4,0,0,175983,618,100.0
2025,SI,Fashion,2,1,1,0,13364,101,50.0
2025,SI,Food,1,1,0,0,4916,113,100.0
2025,SI,Games,2,0,2,0,0,0,0.0
2025,SI,Technology,1,0,1,0,0,0,0.0
2025,US,Art,7,5,2,1,79647,1572,71.43
2025,US,Crafts,191,72,119,23,484919,4764,37.7
2025,US,Design,630,522,108,26,57498949,335722,82.86
2025,US,Fashion,473,223,250,34,4056298,27041,47.15
2025,US,Food,170,56,114,16,683179,6610,32.94
2025,US,Games,1525,1383,142,24,45608389,546686,90.69
2025,US,Technology,650,526,124,40,188582923,409880,80.92
2026,AT,Design,2,2,0,0,48518,268,100.0
2026,AT,Food,0,0,0,1,0,0,
2026,AT,Games,4,3,1,0,15132,215,75.0
2026,AT,Technology,2,0,2,1,0,0,0.0
2026,AU,Crafts,2,1,1,4,4590,29,50.0
2026,AU,Design,18,17,1,4,775444,4805,94.44
2026,AU,Fashion,21,12,9,6,195757,1533,57.14
2026,AU,Food,3,0,3,3,0,0,0.0
2026,AU,Games,56,53,3,16,765313,13753,94.64
2026,AU,Technology,13,9,4,3,383523,3414,69.23
2026,BE,Crafts,3,1,2,0,314,11,33.33
2026,BE,Design,1,1,0,2,2369,20,100.0
2026,BE,Fashion,5,1,4,0,5161,45,20.0
2026,BE,Games,4,4,0,4,88905,1280,100.0
2026,BE,Technology,1,0,1,0,0,0,0.0
2026,CA,Art,1,1,0,0,879,8,100.0
2026,CA,Crafts,17,12,5,4,57194,635,70.59
2026,CA,Design,36,27,9,9,1257329,11301,75.0
2026,CA,Fashion,34,20,14,5,305538,2735,58.82
2026,CA,Food,8,0,8,1,0,0,0.0
2026,CA,Games,139,129,10,12,2572207,41111,92.81
2026,CA,Technology,21,19,2,8,681497,4079,90.48
2026,CH,Crafts,2,0,2,0,0,0,0.0
2026,CH,Design,8,8,0,2,236974,558,100.0
2026,CH,Fashion,2,0,2,3,0,0,0.0
2026,CH,Food,1,0,1,0,0,0,0.0
2026,CH,Games,7,6,1,1,52114,618,85.71
2026,CH,Technology,9,4,5,3,2751511,16689,44.44
2026,DE,Art,1,0,1,1,0,0,0.0
2026,DE,Crafts,5,2,3,3,3750,20,40.0
2026,DE,Design,24,15,9,7,570808,2591,62.5
2026,DE,Fashion,17,9,8,2,105101,1120,52.94
2026,DE,Food,1,0,1,0,0,0,0.0
2026,DE,Games,88,83,5,9,1275576,16500,94.32
2026,DE,Technology,30,15,15,6,1592174,3795,50.0
2026,DK,Design,6,5,1,1,431954,1463,83.33
2026,DK,Food,2,0,2,0,0,0,0.0
2026,DK,Games,11,11,0,1,497012,3125,100.0
2026,ES,Art,1,1,0,0,13738,38,100.0
2026,ES,Crafts,7,0,7,0,0,0,0.0
2026,ES,Design,9,8,1,1,254704,3867,88.89
2026,ES,Fashion,12,4,8,1,55050,350,33.33
2026,ES,Food,3,1,2,4,153,37,33.33
2026,ES,Games,178,173,5,22,1527222,27668,97.19
2026,ES,Technology,22,18,4,8,627013,3954,81.82
2026,FR,Crafts,2,1,1,1,909,21,50.0
2026,FR,Design,18,14,4,6,1083115,3347,77.78
2026,FR,Fashion,10,4,6,2,10130,96,40.0
2026,FR,Food,2,2,0,1,2792,140,100.0
2026,FR,Games,97,93,4,7,1958508,21619,95.88
2026,FR,Technology,27,20,7,4,1022234,6325,74.07
2026,GB,Art,1,0,1,0,0,0,0.0
2026,GB,Crafts,26,15,11,5,97143,1269,57.69
2026,GB,Design,65,57,8,16,5069586,42072,87.69
2026,GB,Fashion,41,22,19,18,293888,3997,53.66
2026,GB,Food,5,3,2,1,26205,296,60.0
2026,GB,Games,293,276,17,33,8241087,94973,94.2
2026,GB,Technology,33,25,8,12,1094615,5168,75.76
2026,GR,Crafts,1,0,1,0,0,0,0.0
2026,GR,Food,10,9,1,0,11923,446,90.0
2026,GR,Games,100,99,1,5,406913,9288,99.0
2026,GR,Technology,3,3,0,0,617,21,100.0
2026,HK,Art,0,0,0,1,0,0,
2026,HK,Crafts,9,6,3,1,220043,1068,66.67
2026,HK,Design,260,245,15,58,18346921,107478,94.23
2026,HK,Fashion,14,9,5,3,70135,366,64.29
2026,HK,Food,2,0,2,0,0,0,0.0
2026,HK,Games,81,79,2,18,2994113,27208,97.53
2026,HK,Technology,275,257,18,61,44327162,146691,93.45
2026,IE,Design,6,5,1,0,312696,691,83.33
2026,IE,Fashion,1,1,0,0,13213,128,100.0
2026,IE,Games,8,8,0,1,53216,1570,100.0
2026,IT,Crafts,5,2,3,3,1728,25,40.0
2026,IT,Design,13,6,7,4,667883,2106,46.15
2026,IT,Fashion,8,1,7,3,6105,12,12.5
2026,IT,Food,2,1,1,0,11997,60,50.0
2026,IT,Games,95,92,3,11,1379071,14981,96.84
2026,IT,Technology,18,10,8,9,910664,3867,55.56
2026,JP,Art,1,1,0,0,3334,11,100.0
2026,JP,Crafts,17,15,2,6,205991,1061,88.24
2026,JP,Design,67,65,2,21,1754328,11227,97.01
2026,JP,Fashion,26,22,4,10,604483,3463,84.62
2026,JP,Food,4,3,1,0,25952,436,75.0
2026,JP,Games,28,28,0,5,380089,6734,100.0
2026,JP,Technology,8,7,1,5,287822,2164,87.5
2026,LU,Games,0,0,0,1,0,0,
2026,MX,Design,1,0,1,1,0,0,0.0
2026,MX,Fashion,1,1,0,1,351,5,100.0
2026,MX,Food,2,1,1,0,780,41,50.0
2026,MX,Games,77,73,4,5,192475,7933,94.81
2026,MX,Technology,4,4,0,0,6005,128,100.0
2026,NL,Crafts,0,0,0,1,0,0,
2026,NL,Design,14,10,4,6,130129,1356,71.43
2026,NL,Fashion,9,3,6,2,15011,131,33.33
2026,NL,Food,2,0,2,0,0,0,0.0
2026,NL,Games,33,33,0,5,432191,4943,100.0
2026,NL,Technology,38,38,0,5,901019,2294,100.0
2026,NO,Design,1,0,1,0,0,0,0.0
2026,NO,Games,8,8,0,0,35138,714,100.0
2026,NO,Technology,1,1,0,1,2957,65,100.0
