platform,project_id,title,creator,country,year,category,parent_category,launched_date,deadline_date,raised_usd,backers,currency,state,compliance_flags,url,source_archive,amount_basis,backers_basis,eu_seller_status,eu_check_method,eu_check_date,evidence_url,check_note
Kickstarter,431199298,UGREEN AI NAS: Your Private Cloud Powered by Secure Local AI,UGREEN,US,2026,Hardware,Technology,2026-03-24,2026-04-23,8844449,3872,USD,successful,electrical; connected,https://www.kickstarter.com/projects/ugreen/ugreen-ai-nas-your-private-cloud-powered-by-secure-local-ai,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shipping page plus exact-title Amazon.de/.nl and web search,2026-09-03,https://ai.ugreen.com/pages/ugreen-ai-nas-feature-introduction,Official order page names Germany and Netherlands delivery
Kickstarter,27228399,Nebula X1 Pro: Mobile Theater with 4K Projector& 7.1.4 Sound,soundcore Nebula,US,2025,Hardware,Technology,2025-09-23,2025-11-12,8243808,2322,USD,successful,electrical; radio/connected; laser,https://www.kickstarter.com/projects/nbl/nebula-x1-pro-mobile-theater-with-4k-projectorand-714-sound,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://www.soundcore.com/eu/products/d2151-nebula-x1-pro-4k-projector,Official EU store lists exact product
Kickstarter,1288458889,Lymow One｜Boundary-Free Robot Mower for Any Terrain and Size,Lymow,US,2024,Robots,Technology,2024-10-10,2024-11-24,7488321,3415,USD,successful,electrical; machinery; radio/connected,https://www.kickstarter.com/projects/lymowone/lymow-one-boundary-free-robot-mower-for-any-terrain-and-size,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and dealer search,2026-09-03,https://eu.lymow.com/collections/all-products,Official EU store/dealer route
Kickstarter,1461739904,"BB-777: The Iconic Boombox, Perfectly Recreated",Bumpboxx,US,2026,Gadgets,Technology,2026-03-24,2026-05-21,7131764,9334,USD,successful,electrical; radio/connected; battery,https://www.kickstarter.com/projects/bumpboxx/bb-777-the-iconic-boombox-perfectly-recreated,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,direct-to-EU only; no EU distributor found,Maker shop country selector plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://bumpboxx.com/products/bb-777,US maker takes EU destinations in USD; no EU reseller found
Kickstarter,623896539,Game Changer: Home Edition,Dropout,US,2026,Tabletop Games,Games,2026-05-05,2026-06-06,7018438,48989,USD,successful,possible toy,https://www.kickstarter.com/projects/dropout/game-changer-home-edition,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,no EU retail yet,Maker/campaign page plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://www.kickstarter.com/projects/dropout/game-changer-home-edition,Campaign-only item with fulfillment scheduled after the check date
Kickstarter,1859235807,UGREEN NASync Series: Your Private Cloud Storage Solution.,UGREEN,US,2024,Hardware,Technology,2024-03-26,2024-05-10,6678664,13285,USD,successful,electrical; connected,https://www.kickstarter.com/projects/ugreen/ugreen-nasync-next-level-storage-limitless-possibilities,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://nas-eu.ugreen.com/en-eufr/pages/black-friday-nas-storage-subscription-ugreen-discounts,Official EU NAS store
Kickstarter,1635542190,JetKVM - Control any computer remotely,JetKVM,US,2024,Hardware,Technology,2024-10-04,2024-12-03,5927862,45880,USD,successful,electrical; connected,https://www.kickstarter.com/projects/jetkvm/jetkvm,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Maker reseller page plus exact-title Amazon.de/.nl and European reseller search,2026-09-03,https://www.welectron.com/BuildJet-JetKVM,German retailer lists exact product
Kickstarter,1842105990,AEKE S1 Pro FULL-BODY AI HOME GYM,AEKE,US,2026,Product Design,Design,2026-05-20,2026-06-29,5866348,1885,USD,successful,electrical; machinery; connected,https://www.kickstarter.com/projects/aeke/aeke-s1-pro-full-body-ai-home-gym,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.aeke.com/products/aeke-s1-pro,Official EU store says EU shipping
Kickstarter,314469407,"Anker SOLIX F3800: Minimum Effort, Maximum Power",Anker,US,2023,Hardware,Technology,2023-10-09,2023-11-20,5813434,1570,USD,successful,electrical; battery,https://www.kickstarter.com/projects/anker/anker-solix-f3800-minimum-effort-maximum-power,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official national shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://www.ankersolix.com/de/collections/f3800-series,Official German store lists F3800 series
Kickstarter,1619128186,XLASERLAB X1/X1Pro: The Most Versatile Laser Welding Machine,XLaserlab,HK,2025,Fabrication Tools,Technology,2025-02-11,2025-03-28,5233622,1706,HKD,successful,electrical; machinery; laser,https://www.kickstarter.com/projects/xlaserlab/xlaser-the-ultimate-4-in-1-laser-welding-revolution,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.xlaserlab.com/en-eu/products/xlaserlab-x1-handheld-laser-welding,Official EU store lists exact product
Kickstarter,1123655698,xTool WonderPress: The Most Creative 3D Auto Heat Press Ever,xTool,US,2026,DIY Electronics,Technology,2026-04-29,2026-06-25,5191321,9251,USD,successful,electrical; machinery,https://www.kickstarter.com/projects/makeblock/xtool-wonderpress-the-most-creative-3d-auto-heat-press-ever,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official national shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://de.xtool.com/products/xtool-wonderpress,Official German store lists exact product
Kickstarter,878234570,TIMEMORE Electric Coffee Grinder,TIMEMORE,SG,2023,Hardware,Technology,2023-03-14,2023-05-13,5005317,10836,SGD,successful,electrical,https://www.kickstarter.com/projects/timemore/timemore-electric-coffee-grinder,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://timemoreeu.com/products/timemore-electric-coffee-grinder-sculptor,Official EU shop lists grinder
Kickstarter,885506341,Meticulous Espresso.,Meticulous.,US,2023,Product Design,Design,2023-03-28,2023-05-12,4960578,3774,USD,successful,electrical,https://www.kickstarter.com/projects/meticulous/meticulous-espresso?ref=discovery_category_newest,Kickstarter_2023-12-14.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Exact-title Amazon.de/.nl and European retailer search,2026-09-03,https://www.roeststaette.com/en/product/meticulous-espresso/,German retailer lists exact machine
Kickstarter,1725613521,FibreSeeker 3-the First Consumer Continuous Fibre 3D Printer,FibreSeek,US,2025,3D Printing,Technology,2025-11-17,2026-01-01,4698825,1539,USD,successful,electrical; machinery; connected,https://www.kickstarter.com/projects/1763117873/fibreseeker-3-the-first-personal-continuous-fibre-3d-printer,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Exact-title Amazon.de/.nl and European retailer search,2026-09-03,https://www.lay3rs-retail.nl/nl/fibreseeker-3.html,Netherlands retailer lists product and EU compliance claims
Kickstarter,1788825446,"RingConn Gen 2: Ultimate Lightness, 12 Days Battery",RingConn,US,2024,Wearables,Technology,2024-08-01,2024-09-15,4415966,18428,USD,successful,electrical; radio/connected; battery,https://www.kickstarter.com/projects/2059923007/ringconn-gen-2-ultimate-lightness-12-days-battery,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official national shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://de.ringconn.com/en/products/ringconn-gen-2,Official German shop lists exact ring
Kickstarter,1649969407,Longer ePrint: the World's 1st Dual-head Personal UV Printer,Longer,US,2025,DIY Electronics,Technology,2025-11-25,2026-01-24,4294357,1621,USD,successful,electrical; machinery; connected,https://www.kickstarter.com/projects/longer3d/longer-eprint-the-worlds-1st-dual-head-personal-uv-printer,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.longer.net/,Official EU storefront lists ePrint
Kickstarter,2093512357,iGarden Swim Jet X Series: Bring the Water Park Home,iGarden,US,2026,Hardware,Technology,2026-03-12,2026-05-11,4243667,2093,USD,successful,electrical; machinery; battery; connected,https://www.kickstarter.com/projects/1312001986/igarden-x-series-worlds-1st-ai-powered-portable-swim-jet,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.store.igarden.ai/products/igarden-swim-jet-x-series-portable-swim-machine,Official EU store lists exact product
Kickstarter,370000575,Hestia: Turn Your Smartphone Into A Smart Telescope,Vaonis,US,2023,Space Exploration,Technology,2023-07-18,2023-08-17,4129095,13983,USD,successful,GPSR/optical product,https://www.kickstarter.com/projects/vaonis/hestia-turn-your-smartphone-into-a-smart-telescope,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Maker origin plus exact-title Amazon.de/.nl and European retailer search,2026-09-03,https://www.telescoop.nl/hestia/,Netherlands retailer lists Hestia
Kickstarter,1617789534,Titan 2 Elite: The 5G Keyboard Phone You’ve Been Waiting For,Unihertz,HK,2026,Hardware,Technology,2026-03-24,2026-05-13,4079856,8836,HKD,successful,electrical; radio/connected; battery,https://www.kickstarter.com/projects/jellyphone/titan-2-elite-the-5g-keyboard-phone-youve-been-waiting-for,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official German shop/campaign shipping page plus exact-title Amazon.de/.nl and web search,2026-09-03,https://www.unihertz.com/de-de/pages/new,Official German shop lists Titan 2 Elite and campaign uses Germany EU warehouse
Kickstarter,1569193539,Circular Ring 2: World’s Most Advanced Health Tracking Ring,Circular,US,2025,Gadgets,Technology,2025-03-05,2025-04-14,4078500,13695,USD,successful,electrical; radio/connected; battery,https://www.kickstarter.com/projects/circular-ring/circular-ring-2-worlds-most-advanced-health-tracking-ring,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official German shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://de.circular.xyz/shop,Official German shop lists Circular Ring 2
Kickstarter,2144178057,"Rokid Glasses, World's Lightest Full-function AI&AR Glasses",Rokid Team,HK,2025,Wearables,Technology,2025-08-26,2025-10-10,4029730,5875,HKD,successful,electrical; radio/connected; battery,https://www.kickstarter.com/projects/rokid/new-rokid-glassesworlds-lighest-full-function-ai-glasses,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official national shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://de.rokid.com/de-de/collections/shop?page=2,Official German shop lists glasses in euros
Kickstarter,117424443,Pongbot Aura-The First Ultralight AI Coach Multi-Sport Robot,PongBot,HK,2026,Robots,Technology,2026-05-19,2026-07-03,4014157,4836,HKD,successful,electrical; machinery; radio/connected; battery,https://www.kickstarter.com/projects/pongbot/aura-the-worlds-first-ultra-light-ai-multi-sport-robot,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official shop shipping page plus exact-title Amazon.de/.nl and web search,2026-09-03,https://store.pongbotsports.com/,Maker states free shipping across EU and UK
Kickstarter,710377326,Flux Keyboard - The Keyboard Reinvented,Flux Group Pty. Ltd.,AU,2023,Hardware,Technology,2023-03-21,2023-04-20,3602284,8171,AUD,successful,electrical; connected by USB,https://www.kickstarter.com/projects/fluxkeyboard/flux-keyboard-the-keyboard-reinvented,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,direct-to-EU only; no EU distributor found,Maker shop/shipping tracker plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://fluxkeyboard.com/product/flux-keyboard/,Australian maker takes direct orders; no EU seller or distributor found
Kickstarter,691775145,ZX Spectrum Next Issue 3,Henrique Olifiers,GB,2025,Hardware,Technology,2025-07-19,2025-08-18,3541371,7524,GBP,successful,electrical; connected by data interface,https://www.kickstarter.com/projects/spectrumnext/zx-spectrum-next-issue-3-0,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Campaign logistics plus exact-title Amazon.de/.nl and European seller search,2026-09-03,https://www.heise.de/en/news/2-6-million-pounds-for-Spectrum-ZX-Next-Issue-3-C64-Schneider-CPC-in-one-10580598.html,European orders use an EU warehouse
Kickstarter,2074726104,eufy S1 Pro Floor Washing Robot Vacuum & All-in-One Station,Eufy Security,US,2024,Robots,Technology,2024-03-28,2024-05-01,3511133,3196,USD,successful,electrical; machinery; radio/connected; battery,https://www.kickstarter.com/projects/eufy-security/eufy-s1-pro-floor-washing-robot-vacuumandall-in-one-station,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://www.eufy.com/eu-en/robot-vacuum-s1-pro,Official EU shop lists exact product
Kickstarter,239794322,Carvera Air: A Smart and Versatile Desktop CNC,Makera,US,2024,Fabrication Tools,Technology,2024-04-09,2024-05-10,3469320,2098,USD,successful,electrical; machinery; connected,https://www.kickstarter.com/projects/makera-inc/carvera-air,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.makera.com/products/carvera-air,Official EU store lists exact product
Kickstarter,367061971,ELEGOO OrangeStorm Giga: Gigantic Volume Fast FDM 3D Printer,elegoo official,US,2023,3D Printing,Technology,2023-11-04,2024-01-03,3386996,2005,USD,successful,electrical; machinery; connected,https://www.kickstarter.com/projects/elegooofficial/elegoo-orangestorm-giga-gigantic-volume-fast-fdm-3d-printer,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.elegoo.com/collections/orangestorm-giga,Official EU store lists exact product
Kickstarter,1541453079,"Kode Dot: The All-In-One Device for Makers, Hackers & Geeks",Kode.,US,2025,Product Design,Design,2025-11-04,2025-12-23,3360759,16171,USD,successful,electrical; connected by data interface; battery,https://www.kickstarter.com/projects/kode/kode-dot-the-all-in-one-pocket-size-maker-device,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Maker location/shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://kode.diy/news/kode-dot-manufacturing-made-in-spain,Maker manufactures in Spain and sells with EU VAT
Kickstarter,1992039377,Halliday: #1st Proactive AI Glasses with Invisible Display,Halliday,US,2025,Wearables,Technology,2025-01-22,2025-03-08,3305917,8023,USD,successful,electrical; radio/connected; battery; optical,https://www.kickstarter.com/projects/halliday-ai-glasses/halliday-proactive-ai-glasses-with-invisible-display,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established direct EU channel,Localized maker shop/terms plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://support.hallidayglobal.com/hc/en-us/articles/60153628246297-Terms-of-Service,Maker terms explicitly cover EU sales and prescription orders
Kickstarter,134218902,Night Storm X3: Native 4K Full-Color in Pitch-Black at 1500m,DVX Night Vision,US,2025,Gadgets,Technology,2025-12-10,2026-01-27,3248440,5879,USD,successful,electrical; battery; optical/laser; CRA interface triage,https://www.kickstarter.com/projects/night-vision/night-storm-x3-native-4k-full-color-in-pitch-black-at-1500m,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,no EU retail yet,Maker page plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://www.dvx.red/,Maker says Kickstarter-only and not in stores or Amazon
