Rank,HS4,Description,Value_2023_EUR,Value_2025_EUR,Change_EUR,Change_Pct,Compliance_Flags
12,8507,"Electric accumulators, incl. separators therefor, whether or not square or rectangular; parts thereof (excl. spent and those of unhardened rubber or textiles)",4520526363,5553176263,1032649900,+22.8%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
13,8473,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of heading 8469 to 8472, n.e.s.",3401730608,5479642962,2077912354,+61.1%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
14,8504,"Electrical transformers, static converters, e.g. rectifiers, and inductors; parts thereof",6306421497,4985162307,-1321259190,-21.0%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
15,3004,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses ""incl. those for transdermal administration"" or in forms or packings for retail sale (excl. goods of heading 3002, 3005 or 3006)",6042109048,4843579766,-1198529282,-19.8%,GPSR / Standard
16,8443,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442 (excl. hectograph or stencil duplicating machines, addressing machines and other office printing machines of heading 8469 to 8472); other printers, copying machines and facsimile machines, whether or not combined; parts thereof",4686442239,4459093050,-227349189,-4.9%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
17,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",3787538356,4087109659,299571303,+7.9%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
18,8541,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels (excl. photovotaic generators); light emitting diodes ""LED""; mounted piezoelectric crystals; parts thereof",10389757311,3624195023,-6765562288,-65.1%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
19,8703,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",4369991507,3181005081,-1188986426,-27.2%,GPSR / Standard
20,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",5621733035,3038233996,-2583499039,-46.0%,GPSR / Standard
21,8523,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, incl. matrices and masters for the production of discs (excl. products of chapter 37)",995872387,3008774619,2012902232,+202.1%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
22,9504,"Video game consoles and machines, articles for funfair, table or parlour games, incl. pintables, billiards, special tables for casino games and automatic bowling alley equipment",5346832205,3008352735,-2338479470,-43.7%,CE (Toy Safety); CRA ((EU) 2024/2847)
23,8903,Yachts and other vessels for pleasure or sports; rowing boats and canoes,1832801964,2849418563,1016616599,+55.5%,GPSR / Standard
24,8486,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in note 9 C to chapter 84; parts and accessories, n.e.s.",2149756696,2565337471,415580775,+19.3%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
25,8411,"Turbojets, turbopropellers and other gas turbines",2577142428,2442087023,-135055405,-5.2%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
26,8518,"Microphones and stands therefor (excl. cordless microphones with built-in transmitter); loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers (excl. telephone sets, hearing aids and helmets with built-in headphones, whether or not incorporating a microphone); audio-frequency electric amplifiers; electric sound amplifier sets; parts thereof",1459085702,2420333871,961248169,+65.9%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
27,7202,Ferro-alloys,2817798534,2357385368,-460413166,-16.3%,GPSR / Standard
28,2601,"Iron ores and concentrates, incl. roasted iron pyrites",2454068406,2315383428,-138684978,-5.7%,GPSR / Standard
29,0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried",1913049576,2241136638,328087062,+17.1%,Packaging/EPR (Afvalfonds)
30,2707,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,1573171890,2179289467,606117577,+38.5%,GPSR / Standard
31,8708,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",2204929995,2116787963,-88142032,-4.0%,GPSR / Standard
32,8802,"Powered aircraft ""e.g. helicopters and aeroplanes""; spacecraft, incl. satellites, and suborbital and spacecraft launch vehicles",2615259807,1898601354,-716658453,-27.4%,GPSR / Standard
33,8525,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders",1780437152,1870604535,90167383,+5.1%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
34,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted (excl. wadded waistcoats)",1525924792,1758279406,232354614,+15.2%,GPSR / Standard
35,9403,"Furniture and parts thereof, n.e.s. (excl. seats and medical, surgical, dental or veterinary furniture)",1237398707,1745978156,508579449,+41.1%,CE (LVD/EMC/GPSR); WEEE/Battery EPR
36,9027,"Instruments and apparatus for physical or chemical analysis, e.g. polarimeters, refractometers, spectrometers, gas or smoke analysis apparatus; instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or the like; instruments and apparatus for measuring or checking quantities of heat, sound or light, incl. exposure meters; microtomes",1787942756,1621163374,-166779382,-9.3%,CE (MDR/EMC)
37,8508,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners(2007-2500);Electro-mechanical tools for working in the hand, with self-contained electric motor; parts thereof(1988-2001)",1072084581,1602263449,530178868,+49.5%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA (if smart connected)
38,6404,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials (excl. toy footwear)",933873884,1600461088,666587204,+71.4%,GPSR / Standard
39,8429,"Self-propelled bulldozers, angledozers, graders, levellers, scrapers, mechanical shovels, excavators, shovel loaders, tamping machines and roadrollers",2208068907,1572839979,-635228928,-28.8%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
40,6204,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (excl. knitted or crocheted, wind-jackets and similar articles, slips, petticoats and panties, tracksuits, ski suits and swimwear)",1389183793,1563967041,174783248,+12.6%,GPSR / Standard
